video_id,scenario_id,scenario_type,time,ed_mean,ed_median,ed_max,ed,ade,fd,hd
770,29,single_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn;left_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,16.93419399999999,2.40,2.48,3.16,2.02,6.16,2.24,2.24
770,30,single_passes_oncoming_single_on_right_on_walkway,20.33841799999999,1.06,1.10,1.25,0.95,1.15,0.98,0.98
770,32,single_passes_oncoming_single_on_right_on_walkway,54.601676999999995,0.94,0.20,2.77,0.94,1.87,1.23,1.24
770,33,single_passes_oncoming_single_on_right_on_crosswalk,18.945015000000012,1.33,1.46,1.69,1.17,1.88,1.67,1.67
770,34,single_no_interaction_on_walkway,20.094028999999978,1.45,1.46,1.85,1.28,2.19,1.48,1.49
770,36,single_no_interaction_on_crosswalk,22.619822,0.57,0.12,1.69,0.56,0.69,0.74,0.74
770,37,single_no_interaction_on_crosswalk,18.973981999999978,1.43,1.42,2.50,1.34,2.43,2.10,2.10
770,38,single_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes-unsignalized_crosswalk,5.906003999999996,1.76,2.05,2.33,0.99,3.43,2.03,2.04
770,39,single_passes_oncoming_group_on_left_on_walkway,0.7365260000000262,0.06,0.07,0.08,0.01,0.00,0.07,0.07
770,40,group_no_interaction_on_walkway,6.357495999999998,0.97,1.06,1.20,0.72,1.01,1.19,1.19
770,42,group_passes_oncoming_single_on_left_on_walkway,24.72005999999999,2.83,2.24,5.13,2.34,10.50,4.55,4.53
770,43,group_no_interaction_on_crosswalk,7.2677249999999844,0.48,0.47,0.81,0.37,0.25,0.80,0.81
770,44,group_passes_oncoming_single_on_left_on_walkway,1.0707869999999957,0.58,0.65,0.85,0.19,0.39,0.85,0.84
770,45,group_no_interaction_on_crosswalk;minor_cut_entrance_corner,8.103471000000013,0.82,0.85,1.26,0.61,0.74,1.26,1.26
770,47,group_no_interaction_on_crosswalk,7.501801999999998,1.15,1.22,1.58,0.83,1.43,1.46,1.46
771,1,group_no_interaction_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,53.983124,1.83,1.82,4.59,1.57,3.88,1.68,1.68
771,2,group_no_interaction_on_crosswalk;major_cut_exit_corner,24.730813000000005,5.96,6.75,10.53,5.61,45.48,1.63,1.63
771,3,group_no_interaction_on_walkway,6.166353999999998,0.73,0.78,0.93,0.56,0.57,0.91,0.91
771,4,group_no_interaction_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,40.453548,1.80,1.87,3.40,1.47,4.29,3.00,3.01
771,5,group_no_interaction_on_crosswalk;major_cut_exit_corner,27.945157000000002,1.84,1.95,3.97,1.57,4.32,3.94,3.94
771,6,group_no_interaction_on_walkway,5.389949000000001,1.28,1.32,1.82,0.77,1.79,1.82,1.81
771,8,group_no_interaction_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,53.965353,1.44,1.42,3.66,1.35,2.61,1.62,1.62
771,9,group_no_interaction_on_crosswalk;major_cut_exit_corner,27.945496999999996,2.66,3.61,4.17,2.43,9.53,2.87,2.87
771,10,group_no_interaction_on_walkway,7.732811999999996,0.63,0.72,0.85,0.53,0.45,0.85,0.85
771,11,single_no_interaction_on_walkway,8.737123999999994,1.29,1.36,1.53,0.91,1.71,1.53,1.53
771,12,single_no_interaction_on_crosswalk,18.947845,1.41,1.45,1.67,1.23,2.04,1.58,1.59
771,13,single_no_interaction_on_crosswalk,6.966781999999995,0.71,0.70,1.01,0.52,0.54,0.97,0.98
771,14,single_no_interaction_on_walkway,1.573601999999994,0.65,0.60,1.15,0.24,0.53,1.14,1.15
771,15,single_no_interaction_on_walkway,38.34897999999998,1.83,2.28,2.56,1.83,4.02,1.55,1.55
771,16,single_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,30.37855300000001,1.46,1.05,2.50,1.01,2.43,2.49,2.50
771,17,single_no_interaction_on_walkway,21.35628600000001,0.88,0.89,1.28,0.76,0.83,0.87,0.89
771,18,single_no_interaction_on_walkway,34.031289,1.34,1.22,2.84,1.24,2.64,1.45,1.45
771,19,single_overtakes_single_on_left_on_crosswalk;right_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,37.96826300000001,3.73,3.08,5.56,3.66,15.98,4.12,4.12
771,20,single_no_interaction_on_walkway,17.331200999999993,2.26,2.35,2.90,1.93,5.42,1.92,1.92
771,22,single_no_interaction_on_crosswalk;left_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,17.96319299999999,0.94,0.74,2.05,0.76,1.26,1.48,1.42
771,23,group_no_interaction_on_walkway,21.055902000000003,1.80,1.83,2.12,1.58,3.34,1.71,1.71
771,25,group_no_interaction_on_walkway,27.61720299999999,1.43,1.46,2.29,1.32,2.40,1.41,1.41
771,26,group_no_interaction_on_crosswalk,23.95430300000001,1.52,1.79,2.61,1.47,3.21,0.75,0.75
771,27,single_no_interaction_on_walkway,30.008499,0.74,0.72,1.30,0.69,0.68,1.29,1.29
771,28,single_no_interaction_on_walkway,11.231168999999994,1.02,1.12,1.45,0.86,1.18,1.43,1.43
771,29,single_no_interaction_on_crosswalk;jaywalk_beside_crosswalk,2.576538999999997,0.61,0.51,1.19,0.30,0.53,1.15,1.15
771,30,single_no_interaction_on_walkway,8.644958000000003,0.82,0.86,0.88,0.64,0.69,0.88,0.88
775,3,single_no_interaction_on_crosswalk;minor_cut_exit_corner,13.326249,0.53,0.41,1.08,0.37,0.38,0.80,0.80
775,4,group_no_interaction_on_crosswalk;minor_cut_exit_corner;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_beginning_of_vehicle_turn,49.920508,5.07,3.21,9.63,4.29,33.70,2.50,2.50
775,5,group_no_interaction_on_walkway,28.74438500000001,0.65,0.59,1.16,0.60,0.49,1.05,1.05
775,7,single_no_interaction_on_crosswalk,5.9565459999999995,1.35,1.50,1.89,0.89,2.08,1.89,1.89
775,8,single_passes_oncoming_group_on_right_on_walkway,1.037662000000001,0.13,0.14,0.19,0.05,0.02,0.17,0.19
775,10,single_no_interaction_on_walkway,22.257064,1.39,1.40,1.77,1.23,1.99,1.59,1.60
775,13,group_no_interaction_on_crosswalk;minor_cut_entrance_corner,50.189302,0.73,0.76,1.36,0.73,0.59,1.17,1.17
775,14,group_no_interaction_on_crosswalk;minor_cut_exit_corner;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_beginning_of_vehicle_turn,21.945147,1.86,1.81,3.05,1.58,3.97,1.95,1.83
775,15,group_no_interaction_on_walkway,27.248861000000005,1.07,1.23,1.51,0.98,1.29,1.50,1.50
775,17,group_no_interaction_on_crosswalk,19.783673,0.62,0.32,1.80,0.51,0.73,1.11,1.11
775,18,group_no_interaction_on_crosswalk;major_cut_exit_corner;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_beginning_of_vehicle_turn,50.93827,5.68,3.20,10.80,5.43,44.69,5.68,5.68
775,19,group_no_interaction_on_walkway,20.906813999999997,0.85,0.90,1.12,0.77,0.78,1.12,1.12
775,21,group_no_interaction_on_crosswalk;jaywalk_beside_crosswalk,7.7307130000000015,2.43,2.08,6.04,1.18,9.64,6.03,6.04
775,22,group_no_interaction_on_crosswalk;minor_cut_entrance_corner;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_beginning_of_vehicle_turn,23.939863999999993,1.64,1.66,2.45,1.51,2.92,1.21,1.21
775,23,group_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,36.16171,1.14,1.38,2.44,1.09,2.25,1.58,1.58
775,24,group_passes_oncoming_single_on_right_on_walkway,2.978664000000002,0.87,0.98,1.08,0.49,0.82,1.08,1.08
775,25,group_no_interaction_on_crosswalk;jaywalk_beside_crosswalk,6.901549000000003,2.93,2.60,6.17,1.39,11.74,6.16,6.17
775,26,group_no_interaction_on_crosswalk;minor_cut_entrance_corner;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_beginning_of_vehicle_turn,23.955083999999992,2.42,2.64,3.14,1.71,6.25,1.53,1.53
775,27,group_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,35.889908000000005,0.69,0.36,1.69,0.66,0.73,1.45,1.45
775,28,single_no_interaction_on_walkway,26.463660000000004,2.15,2.12,3.30,2.07,5.32,1.36,1.36
775,29,single_no_interaction_on_crosswalk;minor_cut_exit_corner,28.94657699999999,0.96,1.27,1.89,0.86,1.43,1.77,1.81
775,30,single_no_interaction_on_walkway,1.6401580000000138,1.15,1.31,1.53,0.41,1.47,1.52,1.53
775,31,single_no_interaction_on_walkway,1.6193979999999897,1.17,1.33,1.56,0.42,1.53,1.56,1.56
775,32,single_no_interaction_on_crosswalk;minor_cut_entrance_corner;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes-unsignalized_crosswalk,3.95405199999999,2.30,2.71,3.12,1.22,5.98,3.10,3.12
775,33,single_no_interaction_on_crosswalk;major_cut_exit_corner,10.975191999999993,1.53,0.56,4.74,1.18,4.69,4.59,4.59
775,34,single_no_interaction_on_walkway,20.658574000000016,1.92,1.91,2.43,1.68,3.83,1.49,1.48
775,35,single_no_interaction_on_walkway,31.92931200000001,0.43,0.39,1.00,0.43,0.24,0.98,0.99
775,36,group_passes_oncoming_single_on_left_on_crosswalk;major_cut_entrance_corner,40.755232999999976,1.22,0.93,4.73,1.22,2.60,3.88,3.88
775,37,single_no_interaction_on_crosswalk,10.597870999999998,1.23,1.41,2.05,1.22,1.99,1.61,1.61
775,38,single_passes_oncoming_group_on_left_on_crosswalk,24.945386000000013,2.91,3.38,4.39,2.91,10.23,1.82,1.82
775,39,single_no_interaction_on_walkway,11.265739999999994,1.05,1.13,1.21,0.88,1.14,0.93,0.93
775,40,single_no_interaction_on_walkway,17.74373700000001,0.93,0.89,1.56,0.83,1.00,0.92,0.92
775,41,group_passes_oncoming_single_on_left_on_crosswalk,28.951941000000005,0.63,0.64,1.24,0.59,0.50,0.91,0.91
775,42,group_no_interaction_on_walkway,23.99413800000002,1.47,1.46,1.92,1.30,2.23,1.74,1.73
775,45,single_no_interaction_on_walkway,0.5015789999999924,0.13,0.13,0.21,0.03,0.02,0.20,0.21
775,46,single_no_interaction_on_crosswalk;jaywalk_beside_crosswalk;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes-unsignalized_crosswalk,11.76938100000001,2.37,2.31,4.33,2.14,7.26,2.96,2.96
776,1,group_no_interaction_on_walkway,12.847841,0.92,0.90,1.21,0.71,0.89,0.83,0.82
776,2,group_no_interaction_on_crosswalk;jaywalk_beside_crosswalk,13.419849000000003,3.60,3.79,6.00,2.51,15.85,4.25,4.25
776,3,group_no_interaction_on_crosswalk;major_cut_exit_corner,34.94555199999999,1.87,1.68,5.31,1.60,4.47,5.21,5.20
776,4,group_passes_oncoming_group_on_right_on_walkway,25.395061,1.91,1.27,3.47,1.60,4.75,3.42,3.42
776,5,single_no_interaction_on_crosswalk,25.962901,1.33,1.37,2.47,1.17,2.42,2.41,2.39
776,6,single_no_interaction_on_crosswalk;minor_cut_entrance_corner,9.931857000000004,1.29,1.29,1.88,0.95,1.81,1.75,1.75
776,7,single_no_interaction_on_walkway,11.898391000000004,0.31,0.31,0.60,0.28,0.13,0.59,0.59
776,8,single_no_interaction_on_walkway,10.467773999999999,0.24,0.25,0.26,0.24,0.06,0.24,0.24
776,9,single_no_interaction_on_crosswalk,14.962592,0.82,0.60,1.98,0.83,1.22,1.95,1.95
776,10,group_no_interaction_on_crosswalk,54.926278,0.69,0.62,2.30,0.65,0.86,2.14,2.14
776,11,group_no_interaction_on_crosswalk,6.944958,0.75,0.78,1.15,0.51,0.67,0.98,0.98
776,12,group_no_interaction_on_walkway,27.761083,1.83,1.85,2.45,1.66,3.60,1.61,1.60
776,13,group_no_interaction_on_walkway,1.954383,0.38,0.43,0.47,0.12,0.15,0.46,0.47
776,14,group_no_interaction_on_crosswalk,57.986127,0.50,0.49,1.28,0.50,0.30,0.49,0.40
776,15,group_no_interaction_on_crosswalk;minor_cut_entrance_corner;major_cut_exit_corner,22.254506,1.96,1.76,3.99,1.62,4.93,3.50,3.48
776,17,group_no_interaction_on_crosswalk,57.017691,0.55,0.49,1.45,0.55,0.36,0.66,0.67
776,18,group_no_interaction_on_crosswalk;minor_cut_entrance_corner;major_cut_exit_corner,23.628164000000005,2.49,1.97,4.94,2.04,7.75,4.29,4.27
776,19,group_no_interaction_on_walkway,1.950187,0.85,0.97,1.13,0.27,0.81,1.12,1.13
776,20,group_no_interaction_on_crosswalk,55.976396,0.51,0.48,1.30,0.51,0.32,0.88,0.88
776,21,single_no_interaction_on_crosswalk;major_cut_exit_corner,17.662954000000006,1.53,1.01,4.01,1.27,4.01,3.95,3.95
776,22,single_no_interaction_on_walkway,4.935232,0.45,0.45,0.90,0.34,0.29,0.90,0.90
776,24,group_no_interaction_on_crosswalk;jaywalk_beside_crosswalk,28.953382000000005,1.49,0.55,4.68,1.49,4.54,3.85,3.85
776,25,group_no_interaction_on_crosswalk;major_cut_exit_corner,19.934185,1.59,1.41,5.56,1.16,3.33,5.42,5.15
776,26,group_passes_oncoming_group_on_right_on_walkway,24.733483000000007,1.05,1.13,1.46,0.95,1.21,1.18,1.18
776,28,group_no_interaction_on_crosswalk;jaywalk_beside_crosswalk,12.341388000000002,2.96,3.16,5.08,1.86,11.12,4.00,4.00
776,29,single_no_interaction_on_crosswalk,39.96229600000001,2.37,2.36,3.58,2.37,6.79,1.87,1.87
776,30,single_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,46.972706,0.60,0.02,2.01,0.50,0.85,0.78,0.78
776,31,single_no_interaction_on_walkway,9.096914000000012,1.63,1.71,2.23,1.29,2.88,2.09,2.09
