scenario_id,selected,track_id,type,direction,scenario_tags,constraint_agents,start_time,end_time
22,s,114,Pedestrian,,single_passes_oncoming_single_on_right_on_crosswalk;left_turning_vehicle_intersects_pedestrian_path-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn;major_cut_exit_corner,17;19;27;63;85;118;137;169;172;180;184;203;205,158,205
23,s,114,Pedestrian,,single_no_interaction_on_walkway,17;19;27;63;85;118;137;169;172;180;184;203;205,205,224.390833
24,x,118,Pedestrian,,-,17;19;27;63;85;114,102.268833,117.450667
25,x,137,Pedestrian,,-,17;19;63;85;114,124.124,138.304833
26,s,169,Pedestrian,,single_no_interaction_on_walkway;jaywalk_beside_crosswalk,19;85;114;172;180;184;203;205,163.6635,179
27,s,169,Pedestrian,,single_no_interaction_on_crosswalk,19;85;114;172;180;184;203;205,179,195
28,s,169,Pedestrian,,single_passes_oncoming_group_on_right_on_crosswalk,19;85;114;172;180;184;203;205,195,246
29,s,169,Pedestrian,,single_no_interaction_on_crosswalk;right_turning_vehicle_intersect_pedestrian_path-pedestrian_in_conflict_lanes-unsignalized_crosswalk,19;85;114;172;180;184;203;205,246,251
30,s,169,Pedestrian,,single_no_interaction_on_walkway,19;85;114;172;180;184;203;205,251,274.274
31,s,172,Pedestrian,,single_no_interaction_on_walkway,19;85;114;169;180;184;203;205,170.837333,194
32,s,172,Pedestrian,,single_passes_oncoming_single_on_right_on_crosswalk;minor_cut_entrance_corner,19;85;114;169;180;184;203;205,194,213
33,s,172,Pedestrian,,single_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes-unsignalized_crosswalk,19;85;114;169;180;184;203;205,213,219
34,s,172,Pedestrian,,single_no_interaction_on_walkway,19;85;114;169;180;184;203;205,219,222.222
35,s,180,Pedestrian,,single_no_interaction_on_walkway,19;85;114;169;172;184;203;205,189.6895,200
36,s,180,Pedestrian,,single_no_interaction_on_crosswalk;major_cut_entrance_corner;right_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_beginning_of_vehicle_turn,19;85;114;169;172;184;203;205,200,230
37,s,180,Pedestrian,,single_no_interaction_on_crosswalk;jaywalk_beside_crosswalk,19;85;114;169;172;184;203;205,230,238
38,s,180,Pedestrian,,single_no_interaction_on_walkway,19;85;114;169;172;184;203;205,238,255.255
39,x,184,Pedestrian,,-,19;85;114;169;172;180,198.6985,204.037167
40,s,203,Pedestrian,,group_no_interaction_on_walkway,19;85;114;169;172;180;205;259;260;277,208.7085,233
41,s,203,Pedestrian,,group_no_interaction_on_crosswalk,19;85;114;169;172;180;205;259;260;277,233,241
42,s,203,Pedestrian,,group_passes_oncoming_single_on_right_on_crosswalk,19;85;114;169;172;180;205;259;260;277,241,261
43,s,203,Pedestrian,,group_no_interaction_on_crosswalk,19;85;114;169;172;180;205;259;260;277,261,290.957333
44,s,205,Pedestrian,,group_no_interaction_on_walkway,19;85;114;169;172;180;203;259;260;277,209.375833,233
45,s,205,Pedestrian,,group_no_interaction_on_crosswalk;minor_cut_entrance_corner,19;85;114;169;172;180;203;259;260;277,233,241
46,s,205,Pedestrian,,group_passes_oncoming_single_on_right_on_crosswalk,19;85;114;169;172;180;203;259;260;277,241,261
47,s,205,Pedestrian,,group_no_interaction_on_crosswalk,19;85;114;169;172;180;203;259;260;277,261,290.957333
48,s,259,Pedestrian,,group_no_interaction_on_walkway,203;205;260;277,274.440833,290.957333
49,x,260,Pedestrian,,-,203;205;259;277,274.440833,290.957333
50,s,277,Pedestrian,,single_no_interaction_on_walkway,203;205;259;260,283.449833,290.957333
